ticker,n_calls,n_aligned,hit_rate,mean_return_when_aligned,note
BAJAJFINSV.NS,52,37,0.7115,0.0419,
ICICIBANK.NS,260,185,0.7115,0.0257,
HINDALCO.NS,62,43,0.6935,0.0382,
PFC.NS,22,15,0.6818,0.0339,
HDFCBANK.NS,297,200,0.6734,0.0179,
BAJFINANCE.NS,121,81,0.6694,0.0474,
TATASTEEL.NS,126,83,0.6587,0.0293,
JSWSTEEL.NS,55,36,0.6545,0.0337,
KOTAKBANK.NS,237,155,0.654,0.0216,
AXISBANK.NS,211,136,0.6445,0.0305,
JINDALSTEL.NS,38,24,0.6316,0.0463,
SBIN.NS,286,180,0.6294,0.0224,
MARUTI.NS,159,99,0.6226,0.0281,
SBILIFE.NS,29,18,0.6207,0.0249,
RELIANCE.NS,304,188,0.6184,0.0197,
ULTRACEMCO.NS,60,37,0.6167,0.0273,
M&M.NS,155,95,0.6129,0.029,
ONGC.NS,123,72,0.5854,0.0282,
BAJAJ-AUTO.NS,99,57,0.5758,0.0239,
SUNPHARMA.NS,106,61,0.5755,0.0262,
TCS.NS,174,100,0.5747,0.0189,
LT.NS,145,80,0.5517,0.0196,
INFY.NS,207,114,0.5507,0.0194,
EICHERMOT.NS,64,35,0.5469,0.0332,
HEROMOTOCO.NS,105,57,0.5429,0.0284,
TITAN.NS,93,50,0.5376,0.0283,
BHARTIARTL.NS,149,76,0.5101,0.023,
APOLLOHOSP.NS,0,0,,,"Not significant historically - judge abstains, no track record"
ASIANPAINT.NS,0,0,,,"Not significant historically - judge abstains, no track record"
BEL.NS,0,0,,,"Not significant historically - judge abstains, no track record"
BHEL.NS,0,0,,,"Not significant historically - judge abstains, no track record"
CIPLA.NS,0,0,,,"Not significant historically - judge abstains, no track record"
COALINDIA.NS,0,0,,,"Not significant historically - judge abstains, no track record"
DMART.NS,0,0,,,"Not significant historically - judge abstains, no track record"
DRREDDY.NS,0,0,,,"Not significant historically - judge abstains, no track record"
HAL.NS,0,0,,,"Not significant historically - judge abstains, no track record"
HDFCLIFE.NS,0,0,,,"Not significant historically - judge abstains, no track record"
HINDUNILVR.NS,0,0,,,"Not significant historically - judge abstains, no track record"
IRCTC.NS,0,0,,,"Not significant historically - judge abstains, no track record"
ITC.NS,0,0,,,"Not significant historically - judge abstains, no track record"
NESTLEIND.NS,0,0,,,"Not significant historically - judge abstains, no track record"
NTPC.NS,0,0,,,"Not significant historically - judge abstains, no track record"
POWERGRID.NS,0,0,,,"Not significant historically - judge abstains, no track record"
RECLTD.NS,0,0,,,"Not significant historically - judge abstains, no track record"
TRENT.NS,0,0,,,"Not significant historically - judge abstains, no track record"
WIPRO.NS,0,0,,,"Not significant historically - judge abstains, no track record"
