ticker,n,r_excess,p_excess,bonferroni_significant,benjamini_hochberg_significant
ICICIBANK.NS,346,0.27594155621200783,1.829779530921243e-07,True,True
BAJFINANCE.NS,152,0.3288353820432629,3.52925672688198e-05,True,True
TATASTEEL.NS,166,0.2924897840184934,0.0001313257776086722,True,True
HINDALCO.NS,79,0.3661378306237928,0.0009051371407474045,True,True
NESTLEIND.NS,96,-0.32336706371924195,0.0013106580784018867,False,True
BAJAJFINSV.NS,66,0.3245027331997423,0.007854638037605539,False,False
SBIN.NS,392,0.13237520982187626,0.008688259395856655,False,False
AXISBANK.NS,270,0.15222287483430935,0.012269972695143041,False,False
HINDUNILVR.NS,161,-0.19099078744088643,0.01522835611431455,False,False
CIPLA.NS,82,-0.2465923388341294,0.025528055569190383,False,False
MARUTI.NS,211,0.14885058574617296,0.030665166099055768,False,False
ITC.NS,180,-0.15472408707199062,0.03808997387794167,False,False
HDFCBANK.NS,392,0.09800781510659258,0.052509961873340526,False,False
ASIANPAINT.NS,113,-0.18153584096180092,0.05431482288915446,False,False
PFC.NS,35,0.3248016846600473,0.056943477285424246,False,False
JSWSTEEL.NS,70,0.22263346246971102,0.06395836097333828,False,False
RELIANCE.NS,398,0.09292258151317169,0.06402901885881591,False,False
DRREDDY.NS,102,-0.18285217546126556,0.0658420048466998,False,False
SBILIFE.NS,40,0.2909733832369431,0.06852159732123178,False,False
POWERGRID.NS,118,-0.15257695699292664,0.09905773712138163,False,False
RECLTD.NS,38,0.26148169524872733,0.11279240265149523,False,False
JINDALSTEL.NS,52,0.21498545113442522,0.1258794145549918,False,False
INFY.NS,250,-0.09654306146663036,0.12791187138872628,False,False
M&M.NS,196,0.10803748720325994,0.13174264962439697,False,False
KOTAKBANK.NS,322,0.07060782227154114,0.20635121574721332,False,False
APOLLOHOSP.NS,31,-0.23327540735400082,0.20660382944368658,False,False
DMART.NS,36,0.1653108389294254,0.33529101050398347,False,False
SUNPHARMA.NS,138,-0.08069314144261713,0.3467854132465272,False,False
NTPC.NS,111,-0.08536240991648895,0.37303889204009916,False,False
TCS.NS,210,-0.053485900859631855,0.44070091811343837,False,False
ULTRACEMCO.NS,89,0.08249546492485468,0.4421485751722101,False,False
TITAN.NS,119,-0.06716017018833974,0.4680118190175492,False,False
BHEL.NS,46,0.09881156996012291,0.5135429466189598,False,False
BEL.NS,34,0.11490961819416148,0.5175546962940483,False,False
BAJAJ-AUTO.NS,122,0.058970137370027924,0.5187956529630711,False,False
HAL.NS,16,-0.13058358057122144,0.6297799004163209,False,False
LT.NS,204,0.031545898874433015,0.65421928409547,False,False
TRENT.NS,15,0.11611666347247353,0.6802647655429059,False,False
HDFCLIFE.NS,53,0.046425761010536415,0.7413218486191435,False,False
WIPRO.NS,128,0.023948086807377623,0.7884512584648651,False,False
ONGC.NS,160,0.012070796415024333,0.8795866778189652,False,False
EICHERMOT.NS,80,-0.016084195265355497,0.8873909252701705,False,False
IRCTC.NS,23,0.018269645886601737,0.9340594254746065,False,False
COALINDIA.NS,94,-0.005630463839556267,0.9570471940013762,False,False
BHARTIARTL.NS,198,-0.0037486342145556283,0.9581986865708486,False,False
HEROMOTOCO.NS,131,-0.004525718404797239,0.959084058835045,False,False
